id,category,muscle_group,difficulty,demonstration_url,description,created_at,name_en,name_es,equipment,type,is_compound,movement_pattern,notes,slug,instructions
e2d4aa33-f880-4781-b665-442fa52da3c0,arms,biceps,beginner,,"The barbell curl is the gold-standard bicep mass exercise. Standing with a barbell held at arm's length, you curl the bar up to shoulder height while keeping the elbows stationary. It primarily targets the biceps brachii.",2026-04-24T22:58:47.864633+00:00,Barbell Curl,Curl con barra,barbell,gym,True,elbow_flexion,,barbell-curl,"Stand with feet shoulder-width apart and hold the barbell with an underhand grip, hands shoulder-width apart. Keep elbows close to your sides. Curl the barbell up toward your chest, exhaling as you lift. Pause at the top and squeeze your biceps. Lower back to starting position, inhaling as you lower. Repeat for desired reps."
52980e6e-3247-4d7d-b72d-2442888a3461,arms,biceps,beginner,,"The cable curl is a bicep isolation exercise that provides constant tension on the muscle throughout the full range of motion, unlike free weights which lose tension at the top.",2026-04-24T22:58:47.864633+00:00,Cable Curl,Curl en polea,cable,gym,True,elbow_flexion,,cable-curl,"Attach a straight bar or rope to a low cable pulley. Stand facing the machine with feet shoulder-width apart. Grip the handle with an underhand grip. Keep elbows close to your sides and curl the handles up toward your shoulders. Hold for a second at the top, then slowly lower back down. Repeat for desired reps."
079cd9b5-e86b-4695-9a21-b2c448838307,arms,biceps,beginner,,The concentration curl is a strict bicep isolation exercise performed seated with the upper arm braced against the inner thigh. It eliminates body english and targets the bicep peak with high precision.,2026-04-24T22:58:47.864633+00:00,Concentration Curl,Curl concentrado,dumbbells,gym,True,elbow_flexion,,concentration-curl,"Sit on a bench with feet flat on the floor and knees slightly apart. Hold a dumbbell in one hand and place your elbow on the inside of your thigh just above the knee with arm fully extended, palm facing up. Curl the weight up toward your shoulder, keeping your elbow stationary. Pause and squeeze at the top. Slowly lower back down. Complete reps then switch arms."
ed06e458-b855-4e2c-b947-5499be910b27,arms,biceps,beginner,,"The dumbbell curl is a foundational bicep exercise that allows independent arm movement, helping to correct strength imbalances between sides. It targets the biceps brachii and brachialis.",2026-04-24T22:58:47.864633+00:00,Dumbbell Curl,Curl con mancuernas,dumbbells,gym,True,elbow_flexion,,dumbbell-curl,"Stand with feet shoulder-width apart, holding a dumbbell in each hand with arms fully extended and palms facing forward. Keep elbows close to your sides. Curl the dumbbells up toward your shoulders. Squeeze at the top. Lower back to starting position with control. Repeat for desired reps."
823bc836-d910-49a4-97de-a766be95f41c,arms,biceps,intermediate,,"The incline dumbbell curl is performed on an incline bench, which pre-stretches the bicep at the bottom for a greater range of motion and increased long head activation.",2026-04-24T22:58:47.864633+00:00,Incline Dumbbell Curl,Curl inclinado con mancuernas,dumbbells,gym,True,elbow_flexion,,incline-dumbbell-curl,"Set an adjustable bench to a 45-60 degree incline. Sit back with a dumbbell in each hand, arms hanging straight down. Curl both dumbbells up toward your shoulders simultaneously. Squeeze the biceps at the top. Lower slowly back to the starting position. Repeat for desired reps."
1264f9db-04db-4d6b-929c-a349a85027c5,arms,biceps,beginner,,"The preacher curl uses a preacher bench pad to brace the upper arm, eliminating body sway and forcing the biceps to do all the work. It provides excellent isolation with emphasis on the lower portion of the bicep.",2026-04-24T22:58:47.864633+00:00,Preacher Curl,Curl predicador,machine,gym,True,elbow_flexion,,preacher-curl,Sit at a preacher bench and place the back of your upper arms flat on the pad. Grip the barbell or dumbbells with an underhand grip. Start with arms nearly fully extended. Curl the weight up toward your shoulders. Squeeze the biceps at the top. Lower slowly and with control back to near full extension. Repeat for desired reps.
d6684efe-ea4e-4846-9343-0c25084cf804,arms,biceps/forearms,beginner,,"The hammer curl uses a neutral (palms-facing) grip to target the brachialis and brachioradialis in addition to the biceps, helping build overall arm thickness and forearm development.",2026-04-24T22:58:47.864633+00:00,Hammer Curl,Curl martillo,dumbbells,gym,True,elbow_flexion,,hammer-curl,"Stand with feet shoulder-width apart, holding a dumbbell in each hand with palms facing each other (neutral grip). Keep elbows close to your sides. Curl the dumbbells up toward your shoulders without rotating your wrists. Pause at the top. Lower slowly back to starting position. Repeat for desired reps."
bd1c6f1d-bd52-421c-8677-b50019dae1a0,arms,triceps,beginner,,The bench dip is a bodyweight triceps exercise performed using a bench or chair. It targets the triceps with assistance from the anterior deltoid and chest.,2026-04-24T22:58:47.864633+00:00,Bench Dip,Fondos en banco,bodyweight,calisthenics,True,vertical_push,,bench-dip,Sit on the edge of a bench or chair and place your hands next to your hips with fingers facing forward. Slide your hips off the bench and extend your legs in front of you. Bend your elbows to lower your body toward the floor until your arms are at about 90 degrees. Push back up to the starting position by straightening your arms. Repeat for desired reps.
4290018b-0ff9-4af6-b5a5-2295b4c247f2,arms,triceps,beginner,,The cable triceps kickback isolates the triceps using a low cable pulley. The cable provides constant tension throughout the movement unlike dumbbell kickbacks.,2026-04-24T22:58:47.864633+00:00,Cable Triceps Kickback,Patada de tríceps en polea,cable,gym,True,elbow_extension,,cable-triceps-kickback,"Set a cable pulley to the lowest position with a single handle attachment. Stand facing the machine and hinge forward at the hips. Hold the handle with one hand and brace your upper arm against your torso, elbow bent at 90 degrees. Extend your arm back fully, squeezing the tricep at the top. Return to starting position with control. Complete reps then switch arms."
0b391754-113d-4628-ae7d-4bf3b1e1a2ce,arms,triceps,beginner,,"The overhead triceps extension stretches the triceps long head fully by placing the arm overhead, providing a unique stimulus compared to pushdown variations. Can be performed with dumbbells, cable, or barbell.",2026-04-24T22:58:47.864633+00:00,Overhead Triceps Extension,Extensión de tríceps por encima de la cabeza,dumbbell,gym,True,elbow_extension,,overhead-triceps-extension,Hold a dumbbell with both hands and raise it overhead with arms fully extended. Keep your elbows pointing forward and close to your head. Lower the dumbbell behind your head by bending at the elbows until your forearms are parallel to the floor. Press back up to the starting position. Repeat for desired reps.
48b6c878-e8be-4deb-a470-a846b152fabc,arms,triceps,intermediate,,The skull crusher is a lying barbell or dumbbell tricep extension that heavily loads all three heads of the triceps with excellent range of motion. Performed on a flat bench.,2026-04-24T22:58:47.864633+00:00,Skull Crusher,Rompecráneos,barbell,gym,True,elbow_extension,,skull-crusher,"Lie on a flat bench holding a barbell or EZ bar with an overhand grip, arms extended directly above your chest. Keep your upper arms stationary and perpendicular to the floor. Bend at the elbows to lower the bar toward your forehead or just above it. Press back up to the starting position. Repeat for desired reps."
71086048-d0d4-48a7-8d65-1838b88582fa,arms,triceps,beginner,,"The cable triceps pushdown is one of the most common tricep exercises, performed at a cable machine. It effectively isolates all three heads of the triceps through constant tension.",2026-04-24T22:58:47.864633+00:00,Triceps Pushdown,Extensión de tríceps en polea,cable,gym,True,elbow_extension,,triceps-pushdown,Attach a straight bar or rope to a high cable pulley. Stand facing the machine with feet shoulder-width apart. Grip the bar with an overhand grip at about chest height. Keep your elbows pinned to your sides. Push the bar down until your arms are fully extended. Squeeze the triceps. Slowly return to starting position. Repeat for desired reps.
52550888-0db4-44dd-a103-70eec66d0b4c,arms,triceps/chest,beginner,,"Assisted dips use a machine or band to offset body weight, allowing beginners to build tricep and chest strength before progressing to unassisted dips.",2026-04-24T22:58:47.864633+00:00,Assisted Dips,Fondos asistidos,machine,gym,True,vertical_push,,assisted-dips,Set the assistance weight on the machine. Kneel or stand on the pad as directed by the machine design. Grip the parallel bars with arms fully extended. Lower your body by bending at the elbows until your upper arms are parallel to the floor. Press back up to the starting position. Repeat for desired reps.
bae18bab-029d-40cb-84a1-3e4617c8c8e7,arms,triceps/chest,intermediate,,The close-grip bench press is a barbell compound pressing exercise that shifts emphasis from the chest to the triceps by narrowing the grip. It also recruits the anterior deltoid.,2026-04-24T22:58:47.864633+00:00,Close-Grip Bench Press,Press de banca agarre cerrado,barbell,gym,True,horizontal_push,,close-grip-bench-press,Lie on a flat bench and grip the barbell with hands shoulder-width apart or slightly closer. Unrack the bar and hold it above your chest with arms extended. Lower the bar to your lower chest while keeping elbows close to your torso. Press back up to the starting position. Repeat for desired reps.
e7fd15e0-897f-4789-8c06-568b3edc79fe,arms,triceps/chest,intermediate,,"Dips are a fundamental bodyweight compound movement targeting the triceps, chest, and anterior deltoids. Performed on parallel bars, they allow full depth loading of the triceps.",2026-04-24T22:58:47.864633+00:00,Dips,Fondos,bodyweight,calisthenics,True,vertical_push,,dips,Grip parallel bars and push up to the starting position with arms fully extended. Cross your feet behind you if desired. Lean slightly forward and lower your body by bending at the elbows. Continue until your upper arms are parallel to the floor. Press back up to the starting position. Repeat for desired reps.
a638420e-e118-44e8-a7d6-313c0380cdc1,back,back,beginner,,"The Australian pull-up (also called inverted row) is a horizontal pulling exercise performed with a low bar or table. It targets the lats, rhomboids, and biceps and is an excellent bodyweight row progression.",2026-04-24T22:58:47.864633+00:00,Australian Pull-Up,Dominada australiana,bodyweight,calisthenics,True,horizontal_pull,,australian-pull-up,"Set a bar or table at hip height. Lie underneath it and grip the bar with an overhand grip, hands shoulder-width apart. Straighten your body with only heels touching the floor. Pull your chest up to the bar by squeezing your shoulder blades together. Lower with control to the starting position. Repeat for desired reps."
